"Exp","Site","Hole","Latitude_DD","Longitude_DD","Water depth (m)","Penetration DSF (m)","Cored interval (m)","Recovered length (m)","Recovery (%)","Drilled interval (m)","Drilled interval (no.)","Total cores (no.)","APC cores (no.)","HLAPC cores (no.)","XCB cores (no.)","RCB cores (no.)","Other cores (no.)","Date started (UTC)","Date finished (UTC)","Time on hole (days)","Comments","Latitude","Longitude","program"
"1","1","*",25.8583,-92.1833,NA,86.3,77.2,58.7,76.04,9.1,1,9,0,0,0,8,1,"1997-10-23 08:44:00","1997-10-23 08:44:00",0,NA,"25 51.498 N","92 10.998 W","DSDP"
"1","2","*",23.455,-92.58667,NA,26.5,26.5,12.1,45.66,NA,0,5,0,0,0,5,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"23 27.3 N","92 35.2002 W","DSDP"
"1","3","*",23.03,-92.0433,NA,99.2,99.2,46.6,46.98,NA,0,11,0,0,0,11,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"23 1.8 N","92 2.598 W","DSDP"
"1","4","*",24.478,-73.792,NA,36.7,36.7,12.9,35.15,NA,0,4,0,0,0,4,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 28.68 N","73 47.52 W","DSDP"
"1","4","A",24.478,-73.792,NA,18.2,18.2,5.7,31.32,NA,0,2,0,0,0,2,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 28.68 N","73 47.52 W","DSDP"
"1","5","*",24.7265,-73.641,NA,27.4,27.4,6.4,23.36,NA,0,3,0,0,0,3,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 43.59 N","73 38.46 W","DSDP"
"1","5","A",24.7265,-73.641,NA,58.3,58.3,1.9,3.26,NA,0,7,0,0,0,7,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 43.59 N","73 38.46 W","DSDP"
"1","6","*",30.8398,-67.6477,NA,46.6,46.6,28.3,60.73,NA,0,6,0,0,0,6,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 50.388 N","67 38.862 W","DSDP"
"1","6","A",30.8398,-67.6477,NA,8.9,8.9,8.9,100,NA,0,1,0,0,0,1,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 50.388 N","67 38.862 W","DSDP"
"1","7","*",30.134,-68.2967,NA,9.7,9.7,9.7,100,NA,0,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 8.04 N","68 17.802 W","DSDP"
"1","7","A",30.134,-68.2967,NA,19.8,18.3,4.5,24.59,1.5,1,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 8.04 N","68 17.802 W","DSDP"
"2","10","*",32.8622,-52.2153,NA,172.1,163,76.3,46.81,9.1,1,19,0,0,0,19,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"32 51.732 N","52 12.918 W","DSDP"
"2","11","*",29.943,-44.7467,NA,23.2,9.2,6,65.22,14,1,1,0,0,0,1,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"29 56.58 N","44 44.802 W","DSDP"
"2","11","A",29.9433,-44.7467,NA,284.1,52.4,6.6,12.6,231.7,1,8,0,0,0,8,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"29 56.598 N","44 44.802 W","DSDP"
"2","12","B",19.6955,-26.0005,NA,218.51,26.31,2.7,10.26,192.2,4,4,0,0,0,4,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"19 41.73 N","26 .03 W","DSDP"
"2","12","C",19.695,-26,NA,109.7,100.6,29.7,29.52,9.1,1,11,0,0,0,11,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"19 41.7 N","26 0 W","DSDP"
"2","12","D",19.695,-26,NA,57.9,57.9,39.1,67.53,NA,0,6,0,0,0,5,1,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"19 41.7 N","26 0 W","DSDP"
"2","8","*",35.3833,-67.5533,NA,186.3,18.4,4.7,25.54,167.9,1,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"35 22.998 N","67 33.198 W","DSDP"
"2","8","A",35.3833,-67.5533,NA,619.5,341.2,3.2,0.94,278.3,1,5,0,0,0,4,1,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"35 22.998 N","67 33.198 W","DSDP"
"2","9","*",32.7733,-59.195,NA,101.3,101.3,36,35.54,NA,0,12,0,0,0,12,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"32 46.398 N","59 11.7 W","DSDP"
"2","9","A",32.7733,-59.195,NA,710.5,710.5,11.4,1.6,NA,0,7,0,0,0,6,1,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"32 46.398 N","59 11.7 W","DSDP"
"3","13","*",6.04,-18.2285,NA,145,27,26.5,98.15,118,2,3,0,0,0,3,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"6 2.4 N","18 13.71 W","DSDP"
"3","13","A",6.04,-18.2285,NA,443,34,11.3,33.24,409,8,7,0,0,0,7,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"6 2.4 N","18 13.71 W","DSDP"
"3","14","*",-28.3315,-20.941,NA,108,83,76.1,91.69,25,3,10,0,0,0,10,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"28 19.89 S","20 56.46 W","DSDP"
"3","15","*",-30.8897,-17.9832,NA,142.7,82.7,71.2,86.09,60,5,10,0,0,0,10,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"30 53.382 S","17 58.992 W","DSDP"
"3","16","*",-30.3358,-15.7132,NA,159.3,101.3,99.1,97.83,58,5,13,0,0,0,12,1,"1997-10-23 08:49:00","1997-10-23 08:49:00",0,NA,"30 20.148 S","15 42.792 W","DSDP"
"3","17","*",-28.0457,-6.6025,NA,92.7,36.7,36.01,98.12,56,4,5,0,0,0,5,0,"1997-10-23 08:49:00","1997-10-23 08:49:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","17","A",-28.0457,-6.6025,NA,102.5,35.4,34.9,98.59,67.1,2,4,0,0,0,4,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","17","B",-28.0457,-6.6025,NA,126.5,39.9,35.5,88.97,86.6,1,5,0,0,0,5,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","18","*",-27.9787,-8.0117,NA,176.1,53.7,52.4,97.58,122.4,2,7,0,0,0,7,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"27 58.722 S","8 .702 W","DSDP"
"3","19","*",-28.5347,-23.6772,NA,144,103.8,96.5,92.97,40.2,4,12,0,0,0,12,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"28 32.082 S","23 40.632 W","DSDP"
"3","20","*",-28.5262,-26.843,NA,6.4,6.4,6,93.75,NA,0,1,0,0,0,1,0,"1997-10-23 08:51:00","1997-10-23 08:51:00",0,NA,"28 31.572 S","26 50.58 W","DSDP"
"3","20","A",-28.5245,-26.8455,NA,65.3,25.8,11,42.64,39.5,3,4,0,0,0,4,0,"1997-10-23 08:51:00","1997-10-23 08:51:00",0,NA,"28 31.47 S","26 50.73 W","DSDP"
"3","20","B",-28.5245,-26.8455,NA,15.5,9.1,9,98.9,6.4,1,1,0,0,0,1,0,"1997-10-23 08:51:00","1997-10-23 08:51:00",0,NA,"28 31.47 S","26 50.73 W","DSDP"
"3","20","C",-28.5245,-26.8455,NA,72.6,50.5,48.6,96.24,22.1,5,7,0,0,0,6,1,"1997-10-23 08:51:00","1997-10-23 08:51:00",0,NA,"28 31.47 S","26 50.73 W","DSDP"
"3","21","*",-28.585,-30.5975,NA,128.4,70.4,72.6,103.12,58,2,9,0,0,0,9,0,"1997-10-23 08:51:00","1997-10-23 08:51:00",0,NA,"28 35.1 S","30 35.85 W","DSDP"
"3","21","A",-28.585,-30.5975,NA,79.1,27.3,27,98.9,51.8,2,3,0,0,0,3,0,"1997-10-23 08:52:00","1997-10-23 08:52:00",0,NA,"28 35.1 S","30 35.85 W","DSDP"
"3","22","*",-30.0052,-35.25,NA,242.2,44.5,38.4,86.29,197.7,4,5,0,0,0,5,0,"1997-10-23 08:52:00","1997-10-23 08:52:00",0,NA,"30 .312 S","35 15 W","DSDP"
"4","23","*",-6.1458,-31.0433,NA,79.4,61.4,20.7,33.71,18,2,7,0,0,0,7,0,"1997-10-23 08:52:00","1997-10-23 08:52:00",0,NA,"6 8.748 S","31 2.598 W","DSDP"
"4","24","*",-6.2717,-30.8922,NA,36,27,6.1,22.59,9,1,3,0,0,0,3,0,"1997-10-23 08:52:00","1997-10-23 08:52:00",0,NA,"6 16.302 S","30 53.532 W","DSDP"
"4","24","A",-6.2763,-30.891,NA,35,35,2.9,8.29,NA,0,4,0,0,0,4,0,"1997-10-23 08:52:00","1997-10-23 08:52:00",0,NA,"6 16.578 S","30 53.46 W","DSDP"
"4","25","*",-0.5167,-39.24,NA,66,36,25.7,71.39,30,5,4,0,0,0,4,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"0 31.002 S","39 14.4 W","DSDP"
"4","25","A",-0.5167,-39.24,NA,20,9,2.4,26.67,11,2,1,0,0,0,1,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"0 31.002 S","39 14.4 W","DSDP"
"4","26","*",10.8925,-44.0428,NA,43,43,13.2,30.7,NA,0,5,0,0,0,5,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"10 53.55 N","44 2.568 W","DSDP"
"4","26","A",10.8925,-44.0428,NA,609.6,NA,NA,0,609.6,1,0,0,0,0,0,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"10 53.55 N","44 2.568 W","DSDP"
"4","27","*",15.8565,-56.8793,NA,51,51,28.3,55.49,NA,0,7,0,0,0,7,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"15 51.39 N","56 52.758 W","DSDP"
"4","27","A",15.8565,-56.8793,NA,45,45,31.6,70.22,NA,0,5,0,0,0,5,0,"1997-10-23 08:53:00","1997-10-23 08:53:00",0,NA,"15 51.39 N","56 52.758 W","DSDP"
"4","28","*",20.5865,-65.6222,NA,110,74,13,17.57,36,5,5,0,0,0,4,1,"1997-10-23 08:54:00","1997-10-23 08:54:00",0,NA,"20 35.19 N","65 37.332 W","DSDP"
"4","29","*",14.7852,-69.3227,NA,164.5,161.5,84.7,52.45,3,1,19,0,0,0,19,0,"1997-10-23 08:54:00","1997-10-23 08:54:00",0,NA,"14 47.112 N","69 19.362 W","DSDP"
"4","29","A",14.7852,-69.3227,NA,46,27,2.8,10.37,19,2,3,0,0,0,3,0,"1997-10-23 08:54:00","1997-10-23 08:54:00",0,NA,"14 47.112 N","69 19.362 W","DSDP"
"4","29","B",14.7852,-69.3227,NA,87,87,53.7,61.72,NA,0,10,0,0,0,10,0,"1997-10-23 08:54:00","1997-10-23 08:54:00",0,NA,"14 47.112 N","69 19.362 W","DSDP"
"4","29","C",14.7852,-69.3227,NA,19,19,1.3,6.84,NA,0,3,0,0,0,3,0,"1997-10-23 08:55:00","1997-10-23 08:55:00",0,NA,"14 47.112 N","69 19.362 W","DSDP"
"4","30","*",12.882,-63.3833,NA,133,133,58.8,44.21,NA,0,16,0,0,0,16,0,"1997-10-23 08:55:00","1997-10-23 08:55:00",0,NA,"12 52.92 N","63 22.998 W","DSDP"
"4","31","*",14.9433,-72.0272,NA,91,91,40.5,44.51,NA,0,10,0,0,0,10,0,"1997-10-23 08:55:00","1997-10-23 08:55:00",0,NA,"14 56.598 N","72 1.632 W","DSDP"
"5","32","*",37.1272,-127.5563,NA,113,104,85.89,82.59,9,1,13,0,0,0,13,0,"1997-10-23 08:55:00","1997-10-23 08:55:00",0,NA,"37 7.632 N","127 33.378 W","DSDP"
"5","33","*",39.4747,-127.4968,NA,110.3,110.3,108.02,97.93,NA,0,14,0,0,0,14,0,"1997-10-23 08:56:00","1997-10-23 08:56:00",0,NA,"39 28.482 N","127 29.808 W","DSDP"
"5","34","*",39.4702,-127.2757,NA,126,126,102.2,81.11,NA,0,17,0,0,0,17,0,"1997-10-23 08:57:00","1997-10-23 08:57:00",0,NA,"39 28.212 N","127 16.542 W","DSDP"
"5","35","*",40.6737,-127.4747,NA,132,132,89.35,67.69,NA,0,16,0,0,0,16,0,"1997-10-23 08:58:00","1997-10-23 08:58:00",0,NA,"40 40.422 N","127 28.482 W","DSDP"
"5","36","*",40.9847,-130.1097,NA,113.5,104.5,102.73,98.31,NA,0,13,0,0,0,13,1,"1997-10-23 08:58:00","1997-10-23 08:58:00",0,NA,"40 59.082 N","130 6.582 W","DSDP"
"5","37","*",40.979,-140.7185,NA,30,30,30.6,102,NA,0,4,0,0,0,4,0,"1997-10-23 08:59:00","1997-10-23 08:59:00",0,NA,"40 58.74 N","140 43.11 W","DSDP"
"5","38","*",38.702,-140.3545,NA,48,48,47.4,98.75,NA,0,6,0,0,0,6,0,"1997-10-23 08:59:00","1997-10-23 08:59:00",0,NA,"38 42.12 N","140 21.27 W","DSDP"
"5","39","*",32.8047,-139.5715,NA,17,17,16.5,97.06,NA,0,2,0,0,0,2,0,"1997-10-23 08:59:00","1997-10-23 08:59:00",0,NA,"32 48.282 N","139 34.29 W","DSDP"
"5","40","*",19.7928,-139.9013,NA,153,144,130.6,90.69,9,1,18,0,0,0,18,0,"1997-10-23 08:59:00","1997-10-23 08:59:00",0,NA,"19 47.568 N","139 54.078 W","DSDP"
"5","41","*",19.8542,-140.048,NA,34.1,34.1,25.7,75.37,NA,0,5,0,0,0,4,1,"1997-10-23 09:00:00","1997-10-23 09:00:00",0,NA,"19 51.252 N","140 2.88 W","DSDP"
"5","42","*",13.8427,-140.1885,NA,100,100,90.59,90.59,NA,0,11,0,0,0,11,0,"1997-10-23 09:01:00","1997-10-23 09:01:00",0,NA,"13 50.562 N","140 11.31 W","DSDP"
"5","42","A",13.8427,-140.1885,NA,8.2,8.2,7.35,89.63,NA,0,2,0,0,0,2,0,"1997-10-23 09:01:00","1997-10-23 09:01:00",0,NA,"13 50.562 N","140 11.31 W","DSDP"
"5","43","*",17.1098,-151.3752,NA,8.5,8.5,8.65,101.76,NA,0,2,0,0,0,2,0,"1997-10-23 09:01:00","1997-10-23 09:01:00",0,NA,"17 6.588 N","151 22.512 W","DSDP"
"6","44","*",19.3083,-169.015,NA,32.4,32.4,29,89.51,NA,0,5,0,0,0,5,0,"1997-10-23 09:01:00","1997-10-23 09:01:00",0,NA,"19 18.498 N","169 .9 W","DSDP"
"6","45","A",24.265,-178.5083,NA,35.6,26.5,5.8,21.89,9.1,1,3,0,0,0,3,0,"1997-10-23 09:02:00","1997-10-23 09:02:00",0,NA,"24 15.9 N","178 30.498 W","DSDP"
"6","46","*",27.8833,171.4383,NA,9.1,9.1,9,98.9,NA,0,1,0,0,0,1,0,"1997-10-23 09:02:00","1997-10-23 09:02:00",0,NA,"27 52.998 N","171 26.298 E","DSDP"
"6","47","*",32.4483,157.7117,NA,9.1,9.1,9.1,100,NA,0,1,0,0,0,1,0,"1997-10-23 09:02:00","1997-10-23 09:02:00",0,NA,"32 26.898 N","157 42.702 E","DSDP"
"6","47","A",32.4483,157.7117,NA,10.4,9.2,2.4,26.09,1.2,1,1,0,0,0,1,0,"1997-10-23 09:02:00","1997-10-23 09:02:00",0,NA,"32 26.898 N","157 42.702 E","DSDP"
"6","47","B",32.4483,157.7117,NA,120.1,120.1,101.08,84.16,NA,0,14,0,0,0,14,0,"1997-10-23 09:02:00","1997-10-23 09:02:00",0,NA,"32 26.898 N","157 42.702 E","DSDP"
"6","48","A",32.4083,158.0217,NA,0.6,0.6,0.6,100,NA,0,1,0,0,0,1,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.498 N","158 1.302 E","DSDP"
"6","48","B",32.4083,158.0217,NA,21,21,20.7,98.57,NA,0,3,0,0,0,3,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.498 N","158 1.302 E","DSDP"
"6","49","*",32.4017,156.6,NA,9.7,9.7,9.7,100,NA,0,2,0,0,0,2,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.102 N","156 36 E","DSDP"
"6","49","A",32.4017,156.6,NA,14.6,14.6,10,68.49,NA,0,2,0,0,0,2,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.102 N","156 36 E","DSDP"
"6","50","*",32.4033,156.5717,NA,6.7,6.7,13,194.03,NA,0,2,0,0,0,2,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.198 N","156 34.302 E","DSDP"
"6","50","A",32.4033,156.5717,NA,30.8,30.8,25.7,83.44,NA,0,4,0,0,0,4,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"32 24.198 N","156 34.302 E","DSDP"
"6","51","*",33.475,153.405,NA,17.4,17.4,9.3,53.45,NA,0,2,0,0,0,2,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"33 28.5 N","153 24.3 E","DSDP"
"6","51","A",33.475,153.405,NA,15.2,15.2,10.8,71.05,NA,0,2,0,0,0,2,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"33 28.5 N","153 24.3 E","DSDP"
"6","52","*",27.7717,147.13,NA,68.9,68.9,44.9,65.17,NA,0,10,0,0,0,10,0,"1997-10-23 09:03:00","1997-10-23 09:03:00",0,NA,"27 46.302 N","147 7.8 E","DSDP"
"6","53","*",18.0333,141.1917,NA,53.9,53.9,12.2,22.63,NA,0,9,0,0,0,8,1,"1997-10-23 09:04:00","1997-10-23 09:04:00",0,NA,"18 1.998 N","141 11.502 E","DSDP"
"6","53","A",18.0333,141.1917,NA,27.5,27.5,25.35,92.18,NA,0,3,0,0,0,3,0,"1997-10-23 09:04:00","1997-10-23 09:04:00",0,NA,"18 1.998 N","141 11.502 E","DSDP"
"6","53","B",18.0333,141.1917,NA,9.1,9.1,9.2,101.1,NA,0,1,0,0,0,1,0,"1997-10-23 09:04:00","1997-10-23 09:04:00",0,NA,"18 1.998 N","141 11.502 E","DSDP"
"6","54","*",15.61,140.3017,NA,65.5,65.5,27.1,41.37,NA,0,9,0,0,0,9,0,"1997-10-23 09:04:00","1997-10-23 09:04:00",0,NA,"15 36.6 N","140 18.102 E","DSDP"
"6","55","*",9.3017,142.535,NA,128.1,128.1,119.1,92.97,NA,0,14,0,0,0,14,0,"1997-10-23 09:04:00","1997-10-23 09:04:00",0,NA,"9 18.102 N","142 32.1 E","DSDP"
"6","56","B",8.3733,143.56,NA,119.7,119.7,81.5,68.09,NA,0,10,0,0,0,9,1,"1997-10-23 09:05:00","1997-10-23 09:05:00",0,NA,"8 22.398 N","143 33.6 E","DSDP"
"6","57","*",8.6817,143.5333,NA,335.4,335.4,6.4,1.91,NA,0,5,0,0,0,3,2,"1997-10-23 09:05:00","1997-10-23 09:05:00",0,NA,"8 40.902 N","143 31.998 E","DSDP"
"6","57","A",8.6817,143.5333,NA,31.4,31.4,22.6,71.97,NA,0,4,0,0,0,4,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"8 40.902 N","143 31.998 E","DSDP"
"6","57","B",8.6817,143.5333,NA,9.2,9.2,9,97.83,NA,0,1,0,0,0,1,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"8 40.902 N","143 31.998 E","DSDP"
"6","58","*",9.235,144.4183,NA,0.1,0.1,0.21,210,NA,0,1,0,0,0,0,1,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"9 14.1 N","144 25.098 E","DSDP"
"6","58","A",9.235,144.4183,NA,10.3,9.1,4.5,49.45,1.2,1,1,0,0,0,1,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"9 14.1 N","144 25.098 E","DSDP"
"6","58","B",9.235,144.4183,NA,6.7,6.7,9,134.33,NA,0,1,0,0,0,1,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"9 14.1 N","144 25.098 E","DSDP"
"6","59","*",11.78,147.5817,NA,0.6,NA,NA,0,0.6,1,0,0,0,0,0,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"11 46.8 N","147 34.902 E","DSDP"
"6","59","A",11.78,147.5817,NA,27.5,9.2,3,32.61,18.3,2,1,0,0,0,1,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"11 46.8 N","147 34.902 E","DSDP"
"6","59","B",11.78,147.5817,NA,46,46,18.2,39.57,NA,0,6,0,0,0,6,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"11 46.8 N","147 34.902 E","DSDP"
"6","60","*",13.6667,145.6983,NA,63,63,35,55.56,NA,0,9,0,0,0,9,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"13 40.002 N","145 41.898 E","DSDP"
"7","61","*",12.0837,147.0617,NA,13.1,13.1,3,22.9,NA,0,2,0,0,0,2,0,"1997-10-23 09:06:00","1997-10-23 09:06:00",0,NA,"12 5.022 N","147 3.702 E","DSDP"
"7","61","A",12.0837,147.0617,NA,13.1,13.1,2.8,21.37,NA,0,2,0,0,0,2,0,"1997-10-23 09:07:00","1997-10-23 09:07:00",0,NA,"12 5.022 N","147 3.702 E","DSDP"
"7","62","*",1.87,141.9383,NA,57.7,57.7,45,77.99,NA,0,8,0,0,0,8,0,"1997-10-23 09:07:00","1997-10-23 09:07:00",0,NA,"01 52.200 N","141 56.298 E","DSDP"
"7","62","A",1.87,141.9383,NA,344.1,344.1,307.98,89.5,NA,0,39,0,0,0,39,0,"1997-10-23 09:07:00","1997-10-23 09:07:00",0,NA,"01 52.200 N","141 56.298 E","DSDP"
"7","63","*",0.8355,147.8898,NA,85,85,61.02,71.79,NA,0,11,0,0,0,11,0,"1997-10-23 09:09:00","1997-10-23 09:09:00",0,NA,"0 50.13 N","147 53.388 E","DSDP"
"7","63","A",0.8355,147.8898,NA,129.8,129.8,87.5,67.41,NA,0,14,0,0,0,14,0,"1997-10-23 09:10:00","1997-10-23 09:10:00",0,NA,"0 50.13 N","147 53.388 E","DSDP"
"7","63","B",0.8355,147.8898,NA,28.2,28.2,21,74.47,NA,0,3,0,0,0,3,0,"1997-10-23 09:11:00","1997-10-23 09:11:00",0,NA,"0 50.13 N","147 53.388 E","DSDP"
"7","64","*",-1.7422,158.6097,NA,79,79,74,93.67,NA,0,10,0,0,0,10,0,"1997-10-23 09:11:00","1997-10-23 09:11:00",0,NA,"1 44.532 S","158 36.582 E","DSDP"
"7","64","A",-1.7422,158.6097,NA,67,67,66.4,99.1,NA,0,11,0,0,0,11,0,"1997-10-23 09:11:00","1997-10-23 09:11:00",0,NA,"1 44.532 S","158 36.582 E","DSDP"
"7","65","*",4.3535,176.9857,NA,144,144,131.88,91.58,NA,0,17,0,0,0,17,0,"1997-10-23 09:12:00","1997-10-23 09:12:00",0,NA,"4 21.21 N","176 59.142 E","DSDP"
"7","65","A",4.3535,176.986,NA,52,43,17.1,39.77,9,1,7,0,0,0,7,0,"1997-10-23 09:12:00","1997-10-23 09:12:00",0,NA,"4 21.21 N","176 59.16 E","DSDP"
"7","66","*",2.3935,-166.1218,NA,72,72,48.76,67.72,NA,0,11,0,0,0,11,0,"1997-10-23 09:12:00","1997-10-23 09:12:00",0,NA,"2 23.61 N","166 7.308 W","DSDP"
"7","66","A",2.3768,-166.1218,NA,69,69,65.8,95.36,NA,0,8,0,0,0,8,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"2 22.608 N","166 7.308 W","DSDP"
"7","67","*",24.376,-157.648,NA,5,5,1.5,30,NA,0,1,0,0,0,1,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"24 22.56 N","157 38.88 W","DSDP"
"7","67","A",24.376,-157.648,NA,9.5,9.5,1.6,16.84,NA,0,2,0,0,0,2,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"24 22.56 N","157 38.88 W","DSDP"
"8","68","*",16.722,-164.1727,NA,15,15,14.9,99.33,NA,0,2,0,0,0,2,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"16 43.32 N","164 10.362 W","DSDP"
"8","68","A",16.722,-164.1727,NA,9,NA,NA,0,9,1,0,0,0,0,0,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"16 43.32 N","164 10.362 W","DSDP"
"8","69","*",6,-152.8655,NA,49,49,45.5,92.86,NA,0,7,0,0,0,7,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"6 0 N","152 51.93 W","DSDP"
"8","69","A",6,-152.8655,NA,106,106,92.18,86.96,NA,0,12,0,0,0,12,0,"1997-10-23 09:13:00","1997-10-23 09:13:00",0,NA,"6 0 N","152 51.93 W","DSDP"
"8","70","*",6.3347,-140.362,NA,108,108,98,90.74,NA,0,12,0,0,0,12,0,"1997-10-23 09:14:00","1997-10-23 09:14:00",0,NA,"6 20.082 N","140 21.72 W","DSDP"
"8","70","A",6.3347,-140.362,NA,218,218,146.4,67.16,NA,0,30,0,0,0,30,0,"1997-10-23 09:15:00","1997-10-23 09:15:00",0,NA,"6 20.082 N","140 21.72 W","DSDP"
"8","70","B",6.3347,-140.362,NA,5,5,3.8,76,NA,0,4,0,0,0,4,0,"1997-10-23 09:16:00","1997-10-23 09:16:00",0,NA,"6 20.082 N","140 21.72 W","DSDP"
"8","71","*",4.4713,-140.3152,NA,431,431,368.26,85.44,NA,0,49,0,0,0,49,0,"1997-10-23 09:16:00","1997-10-23 09:16:00",0,NA,"4 28.278 N","140 18.912 W","DSDP"
"8","71","A",4.4713,-140.3152,NA,13.5,13.5,5.5,40.74,NA,0,3,0,0,0,3,0,"1997-10-23 09:18:00","1997-10-23 09:18:00",0,NA,"4 28.278 N","140 18.912 W","DSDP"
"8","72","*",0.4415,-138.867,NA,87,87,84.8,97.47,NA,0,11,0,0,0,11,0,"1997-10-23 09:18:00","1997-10-23 09:18:00",0,NA,"0 26.49 N","138 52.02 W","DSDP"
"8","72","A",0.4415,-138.867,NA,54,54,46.97,86.98,NA,0,6,0,0,0,6,0,"1997-10-23 09:18:00","1997-10-23 09:18:00",0,NA,"0 26.49 N","138 52.02 W","DSDP"
"8","73","*",-1.9097,-137.4687,NA,172.5,172.5,167.76,97.25,NA,0,21,0,0,0,21,0,"1997-10-23 09:19:00","1997-10-23 09:19:00",0,NA,"1 54.582 S","137 28.122 W","DSDP"
"8","74","*",-6.2367,-136.0967,NA,101,101,73.05,72.33,NA,0,12,0,0,0,12,0,"1997-10-23 09:19:00","1997-10-23 09:19:00",0,NA,"6 14.202 S","136 5.802 W","DSDP"
"8","75","*",-12.5167,-134.2667,NA,81,81,68.3,84.32,NA,0,9,0,0,0,9,0,"1997-10-23 09:20:00","1997-10-23 09:20:00",0,NA,"12 31.002 S","134 16.002 W","DSDP"
"8","75","A",-12.5167,-134.2667,NA,0.1,0.1,0.1,100,NA,0,1,0,0,0,0,1,"2012-07-18 11:15:00","2012-07-18 11:15:00",0,NA,"12 31.002 S","134 16.002 W","DSDP"
"9","76","*",-14.0983,-145.6607,NA,9.1,9.1,9.1,100,NA,0,1,0,0,0,1,0,"1997-10-23 09:20:00","1997-10-23 09:20:00",0,NA,"14 5.898 S","145 39.642 W","DSDP"
